variable,sample_idx,pct_change,prediction
Y_-2,0,-0.1,395.4164
Y_-2,1,-0.1,397.43024
Y_-2,2,-0.1,398.40396
Y_-2,3,-0.1,396.1431
Y_-2,4,-0.1,394.35385
Y_-2,5,-0.1,396.39813
Y_-2,6,-0.1,397.0778
Y_-2,7,-0.1,396.4232
Y_-2,8,-0.1,395.30292
Y_-2,9,-0.1,396.00436
Y_-2,10,-0.1,397.11456
Y_-2,11,-0.1,396.68033
Y_-2,12,-0.1,395.1418
Y_-2,13,-0.1,394.97437
Y_-2,14,-0.1,394.99258
Y_-2,15,-0.1,395.10016
Y_-2,16,-0.1,393.30728
Y_-2,17,-0.1,392.8413
Y_-2,18,-0.1,394.69244
Y_-2,19,-0.1,394.13785
Y_-2,20,-0.1,393.5333
Y_-2,21,-0.1,393.74124
Y_-2,22,-0.1,392.34937
Y_-2,23,-0.1,391.44235
Y_-2,24,-0.1,392.2788
Y_-2,25,-0.1,391.2225
Y_-2,26,-0.1,390.92343
Y_-2,27,-0.1,390.73395
Y_-2,28,-0.1,389.64734
Y_-2,29,-0.1,390.46805
Y_-2,30,-0.1,393.4733
Y_-2,31,-0.1,392.55417
Y_-2,32,-0.1,391.01456
Y_-2,33,-0.1,393.1234
Y_-2,34,-0.1,395.23587
Y_-2,35,-0.1,394.13666
Y_-2,36,-0.1,396.2558
Y_-2,37,-0.1,397.9186
Y_-2,38,-0.1,396.74405
Y_-2,39,-0.1,398.10843
Y_-2,40,-0.1,397.6497
Y_-2,41,-0.1,396.28513
Y_-2,42,-0.1,394.5021
Y_-2,43,-0.1,394.11087
Y_-2,44,-0.1,393.56522
Y_-2,45,-0.1,395.19794
Y_-2,46,-0.1,395.593
Y_-2,47,-0.1,394.91348
Y_-2,48,-0.1,394.25546
Y_-2,49,-0.1,393.2536
Y_-2,50,-0.1,392.76456
Y_-2,51,-0.1,393.46915
Y_-2,52,-0.1,393.5546
Y_-2,53,-0.1,394.342
Y_-2,54,-0.1,393.0763
Y_-2,55,-0.1,393.6834
Y_-2,56,-0.1,392.88742
Y_-2,57,-0.1,392.83975
Y_-2,58,-0.1,392.67624
Y_-2,59,-0.1,393.85068
Y_-2,60,-0.1,393.13812
Y_-2,61,-0.1,393.32254
Y_-2,62,-0.1,393.85696
Y_-2,63,-0.1,396.71796
Y_-2,64,-0.1,396.996
Y_-2,65,-0.1,395.98355
Y_-2,66,-0.1,395.46487
Y_-2,67,-0.1,395.06082
Y_-2,68,-0.1,394.5049
Y_-2,69,-0.1,394.65552
Y_-2,70,-0.1,394.44064
Y_-2,71,-0.1,394.28006
Y_-2,72,-0.1,393.17896
Y_-2,73,-0.1,394.6732
Y_-2,74,-0.1,394.45053
Y_-2,75,-0.1,395.16812
Y_-2,76,-0.1,395.882
Y_-2,77,-0.1,396.7914
Y_-2,78,-0.1,396.98074
Y_-2,79,-0.1,397.9681
Y_-2,80,-0.1,400.12796
Y_-2,81,-0.1,401.6851
Y_-2,82,-0.1,401.37622
Y_-2,83,-0.1,401.9395
Y_-2,84,-0.1,399.55276
Y_-2,85,-0.1,399.11038
Y_-2,86,-0.1,401.1932
Y_-2,87,-0.1,401.5341
Y_-2,88,-0.1,400.79312
Y_-2,89,-0.1,400.18124
Y_-2,90,-0.1,401.29404
Y_-2,91,-0.1,400.29254
Y_-2,92,-0.1,400.7087
Y_-2,93,-0.1,401.46335
Y_-2,94,-0.1,400.5613
Y_-2,95,-0.1,403.15646
Y_-2,96,-0.1,403.2239
Y_-2,97,-0.1,403.77332
Y_-2,98,-0.1,404.0617
Y_-2,99,-0.1,405.29483
Y_-2,100,-0.1,407.5521
Y_-2,101,-0.1,408.1763
Y_-2,102,-0.1,407.35098
Y_-2,103,-0.1,407.7554
Y_-2,104,-0.1,407.79755
Y_-2,105,-0.1,408.78
Y_-2,106,-0.1,404.68375
Y_-2,107,-0.1,406.6343
Y_-2,108,-0.1,409.39932
Y_-2,109,-0.1,410.08643
Y_-2,110,-0.1,407.47427
Y_-2,111,-0.1,406.215
Y_-2,112,-0.1,406.78235
Y_-2,113,-0.1,406.16464
Y_-2,114,-0.1,407.7936
Y_-2,115,-0.1,409.10947
Y_-2,116,-0.1,410.10977
Y_-2,117,-0.1,410.26566
Y_-2,118,-0.1,408.78024
Y_-2,119,-0.1,409.54617
Y_-2,120,-0.1,411.01553
Y_-2,121,-0.1,411.23544
Y_-2,122,-0.1,410.97543
Y_-2,123,-0.1,412.62515
Y_-2,124,-0.1,412.61874
Y_-2,125,-0.1,411.58902
Y_-2,126,-0.1,411.21548
Y_-2,127,-0.1,411.85767
Y_-2,128,-0.1,409.70987
Y_-2,129,-0.1,409.1212
Y_-2,130,-0.1,408.7889
Y_-2,131,-0.1,408.2435
Y_-2,132,-0.1,407.81613
Y_-2,133,-0.1,408.10416
Y_-2,134,-0.1,408.44736
Y_-2,135,-0.1,411.35843
Y_-2,136,-0.1,412.57565
Y_-2,137,-0.1,411.96
Y_-2,138,-0.1,410.8771
Y_-2,139,-0.1,409.1403
Y_-2,140,-0.1,408.94193
Y_-2,141,-0.1,409.2604
Y_-2,142,-0.1,409.53162
Y_-2,143,-0.1,410.0286
Y_-2,144,-0.1,409.45627
Y_-2,145,-0.1,411.112
Y_-2,146,-0.1,412.46814
Y_-2,147,-0.1,413.3656
Y_-2,148,-0.1,412.6746
Y_-2,149,-0.1,412.27588
Y_-2,150,-0.1,411.88345
Y_-2,151,-0.1,411.22122
Y_-2,152,-0.1,410.93137
Y_-2,153,-0.1,410.59534
Y_-2,154,-0.1,409.79312
Y_-2,155,-0.1,410.76834
Y_-2,156,-0.1,411.00394
Y_-2,157,-0.1,409.81058
Y_-2,158,-0.1,409.94577
Y_-2,159,-0.1,409.3639
Y_-2,160,-0.1,408.57144
Y_-2,161,-0.1,406.805
Y_-2,162,-0.1,407.1171
Y_-2,163,-0.1,406.4633
Y_-2,164,-0.1,407.03802
Y_-2,165,-0.1,405.78287
Y_-2,166,-0.1,407.03455
Y_-2,167,-0.1,407.47537
Y_-2,168,-0.1,406.2304
