"","Date","eur_close","MNB","ECB","mean_kinfo","mean_matolcsy","mean_nagy","mean_varga","max_kinfo","max_matolcsy","max_nagy","max_varga","eurczk","eurpln","eurron","cetop","FED","BUX"
"1",2018-05-31,319.404,0.009,0,0,0,0,0,0,0,0,0,25.8148994445801,4.31415987014771,4.65110015869141,1948.80438138212,0.0175,35356.826181
"2",2018-06-03,319.766,0.009,0,0,0,0,0,0,0,0,0,25.797700881958,4.30004978179932,4.65740013122559,1948.80438138212,0.0175,35356.826181
"3",2018-06-04,318.491,0.009,0,0,0,0,0,0,0,0,0,25.6968002319336,4.27063989639282,4.6515998840332,2017.3789636473,0.0175,37194.372093
"4",2018-06-05,318.665,0.009,0,0,0,0,0,0,0,0,0,25.609899520874,4.27899980545044,4.64620018005371,2030.56973470084,0.0175,36677.560541
"5",2018-06-06,317.931,0.009,0,0,0,0,0,0,0,0,0,25.6588001251221,4.26760005950928,4.64870023727417,2040.19492031987,0.0175,37157.463596
"6",2018-06-07,318.367,0.009,0,0,0,0,0,0,0,0,0,25.7572002410889,4.27629995346069,4.65310001373291,2054.54895792304,0.0175,37401.246283
"7",2018-06-10,319.412,0.009,0,0,0,0,0,0,0,0,0,25.7322006225586,4.27631998062134,4.65840005874634,2054.54895792304,0.0175,37401.246283
"8",2018-06-11,320.972,0.009,0,0,0,0,0,0,0,0,0,25.6189002990723,4.26361989974976,4.65780019760132,2024.50275741522,0.0175,36606.383877
"9",2018-06-12,319.474,0.009,0,0,0,0,0,0,0,0,0,25.6700000762939,4.27992010116577,4.65439987182617,2029.55064604869,0.0175,36348.106149
"10",2018-06-13,320.226,0.009,0,0,0,0,0,0,0,0,0,25.7042007446289,4.27570009231567,4.65939998626709,2018.61007411646,0.02,35868.588914
"11",2018-06-14,322.625,0.009,0,0,0,0,0,0,0,0,0,25.7206993103027,4.28396987915039,4.66179990768433,2019.7881457688,0.02,36654.56674
"12",2018-06-17,322.302,0.009,0,0,0,0,0,0,0,0,0,25.6937999725342,4.27939987182617,4.66209983825684,2019.7881457688,0.02,36654.56674
"13",2018-06-18,323.642,0.009,0,0,0,0,0,0,0,0,0,25.7770004272461,4.30281019210815,4.66279983520508,1965.7133031404,0.02,35505.464588
"14",2018-06-19,322.097,0.009,0,0,-0.327260254292883,0,0,0,-0.327260254292883,0,0,25.8225002288818,4.30916023254395,4.66309976577759,1946.53489331587,0.02,34972.348181
"15",2018-06-20,323.395,0.009,0,0,0,0,-0.00023137324438317,0,0,0,-0.00023137324438317,25.8138008117676,4.31473016738892,4.66590023040771,1961.94471674651,0.02,35383.57374
"16",2018-06-21,325.906,0.009,0,0,0,0,0,0,0,0,0,25.8572998046875,4.32919979095459,4.66520023345947,1952.86297041321,0.02,35049.55211
"17",2018-06-24,324.485,0.009,0,0,0,0,0,0,0,0,0,25.8085994720459,4.32134008407593,4.66069984436035,1952.86297041321,0.02,35049.55211
"18",2018-06-25,325.433,0.009,0,0,0,0,0,0,0,0,0,25.8843994140625,4.34530019760132,4.6609001159668,1946.03209898155,0.02,35064.749081
"19",2018-06-26,325.863,0.009,0,0,0,0,0,0,0,0,0,25.9130992889404,4.3359899520874,4.65320014953613,1953.87760675498,0.02,35352.026295
"20",2018-06-27,327.332,0.009,0,0,0,0,0,0,0,0,0,25.9207000732422,4.34978008270264,4.64739990234375,1945.55940366705,0.02,35587.462012
"21",2018-06-28,328.164,0.009,0,0,0,0,0,0,0,0,0,25.9209995269775,4.36082983016968,4.65350008010864,1920.09027365916,0.02,35258.851817
"22",2018-07-01,328.925,0.009,0,0,0,0,0,0,0,0,0,25.9524002075195,4.36329984664917,4.6609001159668,1920.09027365916,0.02,35258.851817
"23",2018-07-02,329.556,0.009,0,0,0,0,0,0,0,0,0,26.0604000091553,4.39669990539551,4.65549993515015,1939.76168154712,0.02,35867.746288
"24",2018-07-03,327.043,0.009,0,0,0,0,0,0,0,0,0,26.0984992980957,4.39357995986938,4.65420007705688,1962.62353161508,0.02,36204.299329
"25",2018-07-04,324.924,0.009,0,0,0,0,0,0,0,0,0,26.0086002349854,4.38200998306274,4.65490007400513,1979.79336738256,0.02,36600.249393
"26",2018-07-05,323.314,0.009,0,0,0,0,0,0,0,0,0,25.9053993225098,4.35090017318726,4.6560001373291,1973.88388846741,0.02,36335.094354
"27",2018-07-08,323.03,0.009,0,0,0,0,0,0,0,0,0,25.8838996887207,4.35240983963013,4.6577000617981,1973.88388846741,0.02,36335.094354
"28",2018-07-09,323.491,0.009,0,0,0,0,0,0,0,0,0,25.8325996398926,4.30935001373291,4.65490007400513,1974.19565977827,0.02,35676.820786
"29",2018-07-10,323.77,0.009,0,0,0,0,0,0,0,0,0,25.8264999389648,4.31599998474121,4.65409994125366,1985.27997527317,0.02,35403.198095
"30",2018-07-11,325.286,0.009,0,0,0,0,0,0,0,0,0,25.9179992675781,4.33973979949951,4.65189981460571,1966.57093292226,0.02,35063.073081
"31",2018-07-12,324.341,0.009,0,0,0,0,0,0,0,0,0,25.9244003295898,4.31969976425171,4.65189981460571,1976.14148157312,0.02,35485.867684
"32",2018-07-15,322.99,0.009,0,0,0,0,0,0,0,0,0,25.8747005462646,4.3110499382019,4.64979982376099,1976.14148157312,0.02,35485.867684
"33",2018-07-16,322.718,0.009,0,0,0,0,0,0,0,0,0,25.8600997924805,4.30214977264404,4.65030002593994,1974.9241884876,0.02,35267.069201
"34",2018-07-17,323.109,0.009,0,0,0,0,0,0,0,0,0,25.843900680542,4.29559993743896,4.64429998397827,1975.2539518639,0.02,34751.126953
"35",2018-07-18,324.004,0.009,0,0,0,0,0,0,0,0,0,25.8365001678467,4.30960988998413,4.6476001739502,1976.27756026854,0.02,34720.306685
"36",2018-07-19,326.17,0.009,0,0,0,0,0,0,0,0,0,25.9055995941162,4.34071016311646,4.64769983291626,1969.90635864681,0.02,35117.828737
"37",2018-07-22,324.989,0.009,0,0,0,0,0,0,0,0,0,25.842399597168,4.31904983520508,4.65240001678467,1969.90635864681,0.02,35117.828737
"38",2018-07-23,326.161,0.009,0,0,0,0,0,0,0,0,0,25.8141002655029,4.32670021057129,4.64359998703003,2001.0250657598,0.02,35141.027275
"39",2018-07-24,325.623,0.009,0,0,0,0,0,0,0,0,0,25.6653995513916,4.30165004730225,4.62419986724854,2031.39466058008,0.02,35049.710015
"40",2018-07-25,325.071,0.009,0,0,0,0,0,0,0,0,0,25.6096992492676,4.29524993896484,4.6168999671936,2028.3030635649,0.02,34963.192987
"41",2018-07-26,323.47,0.009,0,0,0,0,0,0,0,0,0,25.6212005615234,4.28879022598267,4.63180017471313,2066.06658880091,0.02,35624.911595
"42",2018-07-29,322.177,0.009,0,0,0,0,0,0,0,0,0,25.6098003387451,4.28359985351562,4.61920022964478,2066.06658880091,0.02,35624.911595
"43",2018-07-30,321.43,0.009,0,0,0,0,0,0,0,0,0,25.5783996582031,4.26955986022949,4.62039995193481,2084.84497961209,0.02,35931.234045
"44",2018-07-31,320.13,0.009,0,0,0,0,0,0,0,0,0,25.5680999755859,4.27390003204346,4.61600017547607,2070.98456449508,0.02,35742.058049
"45",2018-08-01,320.497,0.009,0,0,0,0,0,0,0,0,0,25.5750999450684,4.26224994659424,4.61329984664917,2086.42407071637,0.02,36207.717326
"46",2018-08-02,320.855,0.009,0,0,0,0,0,0,0,0,0,25.6427993774414,4.27508020401001,4.61600017547607,2063.14914541818,0.02,36035.461362
"47",2018-08-05,319.7,0.009,0,0,0,0,0,0,0,0,0,25.6378993988037,4.25325012207031,4.6181001663208,2063.14914541818,0.02,36035.461362
"48",2018-08-06,319.883,0.009,0,0,0,0,0,0,0,0,0,25.6210994720459,4.25629997253418,4.63609981536865,2096.27237738379,0.02,37259.801218
"49",2018-08-07,319.786,0.009,0,0,0,0,0,0,0,0,0,25.5898990631104,4.25750017166138,4.63910007476807,2097.36855540385,0.02,37087.752742
"50",2018-08-08,319.47,0.009,0,0,0,0,0,0,0,0,0,25.5851001739502,4.26429986953735,4.63409996032715,2103.06158701159,0.02,36954.16426
"51",2018-08-09,320.397,0.009,0,0,0,0,0,0,0,0,0,25.5799007415771,4.27677011489868,4.64790010452271,2103.66927786617,0.02,36844.993176
